Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Bank of Melbourne,Basic Home Loan for Owner Occupied (Promotional Rate),https://www.infochoice.com.au/home-loans/bank-of-melbourne/basic-home-loan-for-owner-occupied-44377,VARIABLE,3.64,443770,3.65,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$100.00,$0,$350.00,,
Australian Military Bank,Australian Military Bank Home Equity Overdraft Loan,https://www.infochoice.com.au/home-loans/australian-military-bank/australian-military-bank-home-equity-overdraft-loan-27145,VARIABLE,5.49,271450,5.49,0,0,0,HomeEquity,ResidentialProperty,Owner Occupiers Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,80%,$50000.00,$2500000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$500.00,$242.00,$0,$25.00,$5.00,$300.00,,
Aussie,Macquarie Bank Ltd - Aussie IQ Basic Fixed Interest Only (Investment) (<=70% LVR),https://www.infochoice.com.au/home-loans/aussie/macquarie-bank-ltd-aussie-iq-basic-fixed-interest-only-40650,FIXED,4.24%,406501,4.29%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Monthly,,30,70%,30,70%,$100000.00,$5000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$363.00,$0,$0,$0,$400.00,,
Aussie,Macquarie Bank Ltd - Aussie IQ Basic Fixed Interest Only (Investment) (<=70% LVR),https://www.infochoice.com.au/home-loans/aussie/macquarie-bank-ltd-aussie-iq-basic-fixed-interest-only-40650,FIXED,4.34%,406502,4.31%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Monthly,,30,70%,30,70%,$100000.00,$5000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$363.00,$0,$0,$0,$400.00,,
Aussie,Macquarie Bank Ltd - Aussie IQ Basic Fixed Interest Only (Investment) (<=70% LVR),https://www.infochoice.com.au/home-loans/aussie/macquarie-bank-ltd-aussie-iq-basic-fixed-interest-only-40650,FIXED,4.49%,406503,4.35%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Monthly,,30,70%,30,70%,$100000.00,$5000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$363.00,$0,$0,$0,$400.00,,
Aussie,Macquarie Bank Ltd - Aussie IQ Basic Fixed Interest Only (Investment) (<=70% LVR),https://www.infochoice.com.au/home-loans/aussie/macquarie-bank-ltd-aussie-iq-basic-fixed-interest-only-40650,FIXED,4.59%,406504,4.40%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Monthly,,30,70%,30,70%,$100000.00,$5000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$363.00,$0,$0,$0,$400.00,,
Aussie,Macquarie Bank Ltd - Aussie IQ Basic Fixed Interest Only (Investment) (<=70% LVR),https://www.infochoice.com.au/home-loans/aussie/macquarie-bank-ltd-aussie-iq-basic-fixed-interest-only-40650,FIXED,4.69%,406505,4.49%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Monthly,,30,70%,30,70%,$100000.00,$5000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$363.00,$0,$0,$0,$400.00,,
ANZ,ANZ Breakfree Home Loan Package IO - Investment ($150000-$249999),https://www.infochoice.com.au/home-loans/anz/anz-breakfree-home-loan-package-io-investment-50108,VARIABLE,5.76,501080,5.84,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$150000.00,$249999.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM,,$0,$0,$0,$0,$375.00,$160.00,,
Arab Bank,12mth Head Start,https://www.infochoice.com.au/home-loans/arab-bank/mth-head-start-47942,VARIABLE,4.64,479420,5.49,0,0,4.15,Intro,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,2,80%,30,95%,$50000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$55.00,,,,$600.00,$0,$0,$0,$8.00,$0,,
AMP,AMP Essential Home Loan (Investment),https://www.infochoice.com.au/home-loans/amp/amp-essential-home-loan-41442,VARIABLE,5.12,414420,5.14,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$40000.00,$2000000.00,TRUE,TRUE,$375.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,Same business day,Internet Phone,,$0,$295.00,$0,$0,$0,$100.00,,
AMO,AMO Fixed Rate Home Loan,https://www.infochoice.com.au/home-loans/amo/amo-fixed-rate-home-loan-8630,FIXED,4.49%,86301,5.02%,1 Year,4.68,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,1,80%,30,90%,$30000.00,$1000000.00,FALSE,TRUE,$150.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,n/a,,,$0,$280.00,$0,$250.00,$330.00,$295.00,,
AMO,AMO Fixed Rate Home Loan,https://www.infochoice.com.au/home-loans/amo/amo-fixed-rate-home-loan-8630,FIXED,4.49%,86302,5.0%,2 Year,4.68,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,1,80%,30,90%,$30000.00,$1000000.00,FALSE,TRUE,$150.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,n/a,,,$0,$280.00,$0,$250.00,$330.00,$295.00,,
AMO,AMO Fixed Rate Home Loan,https://www.infochoice.com.au/home-loans/amo/amo-fixed-rate-home-loan-8630,FIXED,4.54%,86303,5.0%,3 Year,4.68,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,1,80%,30,90%,$30000.00,$1000000.00,FALSE,TRUE,$150.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,n/a,,,$0,$280.00,$0,$250.00,$330.00,$295.00,,
AMO,AMO Fixed Rate Home Loan,https://www.infochoice.com.au/home-loans/amo/amo-fixed-rate-home-loan-8630,FIXED,4.94%,86304,5.13%,4 Year,4.68,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,1,80%,30,90%,$30000.00,$1000000.00,FALSE,TRUE,$150.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,n/a,,,$0,$280.00,$0,$250.00,$330.00,$295.00,,
AMO,AMO Fixed Rate Home Loan,https://www.infochoice.com.au/home-loans/amo/amo-fixed-rate-home-loan-8630,FIXED,4.94%,86305,5.15%,5 Year,4.68,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,1,80%,30,90%,$30000.00,$1000000.00,FALSE,TRUE,$150.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,n/a,,,$0,$280.00,$0,$250.00,$330.00,$295.00,,
AIMS Home Loans,Aims First Option Variable Home Loan,https://www.infochoice.com.au/home-loans/aims-home-loans/aims-first-option-variable-home-loan-13505,VARIABLE,6.37,135050,6.525,0,0,0,Basic,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Fortnightly Monthly,,15,80%,30,90%,$200000.00,$750000.00,TRUE,TRUE,$990.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,,,$660.00,$0,$0,$0,$10.00,$330.00,Not applicable from 1 July 2011,
