Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-32458,FIXED,4.94%,324584,5.57%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-32458,FIXED,4.94%,324585,5.54%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-32458,FIXED,5.94%,3245810,6.09%,10 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,4.79%,221691,5.69%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,4.54%,221692,5.58%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,4.70%,221693,5.55%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,4.94%,221694,5.57%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,4.94%,221695,5.54%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22169,FIXED,5.94%,2216910,6.09%,10 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$15000.00,$149999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,4.79%,221661,5.71%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,4.54%,221662,5.58%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,4.70%,221663,5.55%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,4.94%,221664,5.57%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,4.94%,221665,5.54%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22166,FIXED,5.94%,2216610,6.09%,10 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,4.79%,221651,5.69%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,4.54%,221652,5.58%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,4.70%,221653,5.55%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,4.94%,221654,5.57%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,4.94%,221655,5.54%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Owner Occupier) ,https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-22165,FIXED,5.94%,2216510,6.09%,10 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,5.14%,430911,6.18%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,4.89%,430912,6.05%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,5.14%,430913,6.03%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,5.24%,430914,6.00%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,5.24%,430915,5.95%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43091,FIXED,6.19%,4309110,6.42%,10 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,5.14%,430821,6.18%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,4.89%,430822,6.05%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,5.14%,430823,6.03%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,5.24%,430824,6.00%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,5.24%,430825,5.95%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43082,FIXED,6.19%,4308210,6.42%,10 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$275.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,5.14%,430801,6.18%,1 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,4.89%,430802,6.05%,2 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,5.14%,430803,6.03%,3 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,5.24%,430804,6.00%,4 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,5.24%,430805,5.95%,5 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Self Employed Fixed Rate Home Loan (LVR<=70%) (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-self-employed-fixed-rate-home-loan-43080,FIXED,6.19%,4308010,6.42%,10 Year,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,70%,30,70%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--32474,VARIABLE,4.47,324740,4.87,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--22159,VARIABLE,4.37,221590,4.77,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$500000.00,$999999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--22154,VARIABLE,4.37,221540,4.77,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$1000000.00,$15000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--22153,VARIABLE,4.62,221530,5.01,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$150000.00,$249999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--43074,VARIABLE,4.98,430740,5.37,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$250000.00,$499999.00,TRUE,TRUE,$0,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--43071,VARIABLE,4.88,430710,5.27,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$1000000.00,$15000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Full Feature Home Loan >80% (Investment),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-full-feature-home-loan--43069,VARIABLE,5.13,430690,5.52,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,,,1,80%,30,90%,$150000.00,$249999.00,FALSE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,4.24%,324531,5.25%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,3.99%,324532,5.13%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,4.15%,324533,5.08%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,4.39%,324534,5.09%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,4.39%,324535,5.05%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--32453,FIXED,5.64%,3245310,5.77%,10 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$250000.00,$499999.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--22162,FIXED,4.24%,221621,5.25%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$1000000.00,$10000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
RAMS,Value Advantage Package Fixed Rate Home Loan >80% (Owner Occupier),https://www.infochoice.com.au/home-loans/rams/value-advantage-package-fixed-rate-home-loan--22162,FIXED,3.99%,221622,5.13%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$1000000.00,$10000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$285.00,$375.00,$0,,
