rc_code,if_code,mz_code
b3f28c55-07e3-4353-85e9-d657abd11c49,0,0
f778a3a6-9be9-4fec-8aca-62f0c882fd81,0,0
c81a6702-a38e-445e-8b08-bafd8a5da60f,0,0
f90ad92b-2911-4c30-a524-fc4f2099bee3,17131,103 Fixed 1 year rate
2fd81051-7a8b-4330-9a94-6f85d0056fcd,171310,103 Fixed 10 year rate
b12d144e-9064-4043-a44e-28a91e46159c,17132,103 Fixed 2 year rate
4b6d6449-0ee7-440b-b513-dc2ca2ba782c,17133,103 Fixed 3 year rate
196d2882-0ff1-499d-a8a8-f2e84ff94b53,17134,103 Fixed 4 year rate
4c7ffb3a-8794-4663-8893-81936febf4c5,17135,103 Fixed 5 year rate
cc917de0-7f54-4618-80e5-a946da4f286d,17137,103 Fixed 7 year rate
3b8b5295-7d44-4757-b336-adf6f2fb89f6,431901,0
16569664-f3fc-43b0-be98-a30e2bd84739,4319010,0
9fb76b9b-251d-45ea-b261-193b6ef17d6f,431902,0
6a952086-28e5-4ae8-ba07-1dca7836749b,431903,0
fd8cd67b-df20-4aa0-861c-a3a33c37f28f,431904,0
792eddde-2da8-4e86-b11f-0e69ba4123aa,431905,0
a1baad3a-7a92-4cf7-8ccb-e9adcf1c185e,431907,0
7dcc84b4-8cc5-454c-a652-ab5660aa3e92,497471,4319 Fixed 1 year rate
13446022-0b9d-49ad-a035-b2b96abcb522,4974710,4319 Fixed 10 year rate
fb840587-c593-4d87-aad3-d0402ad57a64,497472,4319 Fixed 2 year rate
5bf47d73-0049-4d9b-8f29-1a075fbd0a70,497473,4319 Fixed 3 year rate
cb4cf725-7676-4f17-8547-31020523e977,497474,4319 Fixed 4 year rate
9041d379-ffe0-4938-a9a7-8591ca3453dc,497475,4319 Fixed 5 year rate
f598650b-b89b-4a80-b48a-9843b9113591,497477,4319 Fixed 7 year rate
7423efea-e90f-4b0f-82b0-05af00d571f2,0,0
2dc97f12-7deb-4be3-a6ec-f6a8674e768f,0,0
99d3498d-616b-4cba-8103-b31e0c586d04,0,0
8326361e-02a7-47ca-ba25-5bcea862b0cb,0,0
c3b208b3-8c88-4801-97a9-afd763c3721b,0,0
0c59b023-cf47-40b3-ab85-1db3566eb492,0,0
e78d48da-ae0d-49bc-84b3-d94871b1f76d,0,0
da87e95b-0857-4717-b2cb-37feb6085a1b,393901,2097 Fixed 1 year rate
a24119d2-b0dd-4378-93f6-a69502bd8959,3939010,2097 Fixed 10 year rate
1f2c22a0-25c7-4489-ac5b-71cb6caeb02f,393902,2097 Fixed 2 year rate
00514b74-ef82-4223-89f5-42e8d092e6b2,393903,2097 Fixed 3 year rate
c5e32da8-b1cd-4a36-b86a-cbcfa1eb6de4,393904,2097 Fixed 4 year rate
4a6f4326-7625-416e-bcf6-d52635effce2,393905,2097 Fixed 5 year rate
c24167c2-cb19-4b57-b233-a466b5ff1954,393907,2097 Fixed 7 year rate
b02b24c4-012b-4a16-b1c8-bfcd50bbc9da,0,0
6767396b-bce8-4882-847e-d7ad5bfc4f7f,0,105
645871f1-f364-4cb5-a9e2-301311133817,497440,0
68151b2b-7a87-413c-a0f8-6cf0218d56bd,0,0
6e114469-471b-43bc-8697-7d5dc2425770,20480,0
5c1eede8-e4f5-49e3-8703-e34cae376834,0,0
f95c8d9d-004d-4f82-8ef2-625588a0656e,0,3873
1e697d2d-d952-4513-b1da-c794bd7cbd55,497450,4322
3feda90d-3c9c-4872-9754-df54176d9c97,0,0
f97225eb-29c6-421a-94fb-c3db1b01f579,17110,107
43ae05bc-74e0-4b31-a6b8-4737a3f9f34d,497500,4323
088afb99-1889-4ce4-8107-3727ec4d2e64,0,0
5ad79be5-1abd-436c-897d-03105c82d551,398240,2231
3ebd2a32-9ace-4e49-b171-0506f1556fb8,325700,1386
1ef09dbf-c752-4244-ba42-82477dea8888,498571,362 Fixed 1 year rate
f5ddf80f-1def-43e5-a276-3bc52f030e18,498572,362 Fixed 2 year rate
b5fcfca5-4000-40c0-928b-5aa359de8db6,498573,362 Fixed 3 year rate
52d767e5-acc7-4f67-a712-46964fdf29a6,498574,362 Fixed 4 year rate
188b46ad-1159-4ba4-b378-160ccb94d1df,498575,362 Fixed 5 year rate
f69025b8-4aed-4983-9c51-4dcae25b313e,21521,4526 Fixed 1 year rate
153e60f1-02c9-4e58-95ba-3b137515331c,21522,4526 Fixed 2 year rate
ac45531e-9e9e-4a74-86fb-3c7d88b43741,21523,4526 Fixed 3 year rate
7632ce48-cfbb-481c-ac38-4f34daff1ec9,21524,4526 Fixed 4 year rate
8f09ebc8-a72c-410c-9fc4-e914f0ad44a2,21525,4526 Fixed 5 year rate
1df14734-973b-42f7-ac43-3bc437d21f05,479420,3418
102bb8e0-98bb-442b-a233-82fa86145391,18710,360
60ae713b-6966-4b0b-a3b0-597e0ffbcbe5,19970,361
7d6ce282-d759-434d-bc3e-1844aa5f8db4,512010,1801
5f9d8585-1fd3-4f46-a7e5-a04ca845e108,396790,4663
af70c878-0409-48bc-b5bc-44ee55722a6b,512000,4662
fa5f047b-1463-4bed-9203-bd6e68257bf8,396810,2158
26ccde3d-1fe7-4b1c-864a-d4f09e28e6cd,344240,595
f560d514-127a-4001-a948-dcfcc8c3a96a,358060,1802
055982bb-5c35-4521-adc7-3ac840d6b1e9,406491,2704 Fixed 1 year rate
983d2d0b-8826-462c-af51-e54416d4c272,516171,4999 Fixed 1 year rate
dd2ddc2c-3857-46d8-ac7c-13f9daa71c80,406492,2704 Fixed 2 year rate
303f87d3-7262-41d1-ade9-56c72d0303a7,516172,4999 Fixed 2 year rate
dcd326da-0ac9-4583-ac82-266582c9f3c1,406493,2704 Fixed 3 year rate
284b4997-de59-4223-ac07-1fabd18f8084,516173,4999 Fixed 3 year rate
9f9381bf-dd8f-4f67-a8fc-51d9157feaf4,406494,2704 Fixed 4 year rate
37a615a3-3315-4563-b71c-992a33ddaaf2,516174,4999 Fixed 4 year rate
991df4d9-7f37-4dba-9913-10ad63c5bb2b,406495,2704 Fixed 5 year rate
dab13f78-b159-447f-b32c-cb8b4aa4541c,516175,4999 Fixed 5 year rate
52b857df-0b0a-42b7-87ae-8e5a688b4273,524711,0
64d759fd-3b3c-472f-b328-2cad13f38beb,524721,176 Fixed 1 year rate
070835f6-acf4-49e8-8dea-541ff053bd67,516181,4998 Fixed 1 year rate
8ca3680d-b1a2-405e-9186-b24149dd7aff,524712,0
fd383b31-fb8b-409f-8409-feb3b2acf4a9,524722,176 Fixed 2 year rate
95137377-c946-4328-a523-964fd8607f68,516182,4998 Fixed 2 year rate
df9b7668-2de0-4151-b5ef-b21d501c5ea1,524713,0
967ec5bf-25c3-4b73-a840-ef54311c9cf6,524723,176 Fixed 3 year rate
c9e889e8-aaa0-4913-86b5-22b99fc44b5b,516183,4998 Fixed 3 year rate
322819c6-01a3-4437-9c22-6d28b852bd39,524714,0
8379ca3e-d99c-46c4-a33c-79dbdac59d22,524724,176 Fixed 4 year rate
a574a587-2e4e-4f40-881a-4d31b2cda0db,516184,4998 Fixed 4 year rate
b48c73ca-0933-4ce7-a091-662ebaf6eb5e,524715,0
c721a6fc-1427-452a-823b-18fc54394a9d,524725,176 Fixed 5 year rate
dfbcea91-c7b3-4984-9741-5dd041723502,516185,4998 Fixed 5 year rate
d79ee1b9-7370-4e05-810e-4dae02b35ab3,512050,4664
0ada22c5-ed30-4300-ae02-a762dc7bbbf5,396890,2706
319b0d8d-cd58-44fe-a700-245049891c67,511990,4665
d1349a0e-d55a-4f12-83da-f451467bf54d,396800,2160
