Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.35%,52396,4.67%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.48%,52396,4.69%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.74%,52396,4.77%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.79%,52396,4.80%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.27%,40315,5.13%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.45%,40315,5.10%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.58%,40315,4.09%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.70%,40315,5.10%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.80%,40315,5.12%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,
AFG,Pro Pack Home Loan 70%-90% LVR,https://www.infochoice.com.au/home-loans/afg/pro-pack-home-loan---lvr-25117,VARIABLE,4.32,25117,4.65,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,,,8,30,"$150,000.00","$1,000,000.00",FALSE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$245.70,$330.00,$0,
